"","player_name","player_id","alt_id","league_id","goal","distance","cosangle","head","throughball","cross","fast_break","big_chance","open_play","freekick","difficult"
"146666","Lorenzo Insigne",585,0,2,0,66.969,0.974,0,0,0,0,0,1,0,0
"76354","Sergio Agüero",333,0,1,1,54.723,0.846,0,0,0,1,1,1,0,0
"85341","Anthony Modeste",274,0,5,0,58.373,0.903,0,0,0,0,0,1,0,0
"39069","Florent Balmont",63,0,3,0,78.603,0.984,0,0,0,0,0,0,0,0
"31849","Jason Puncheon",246,0,1,0,73.14,0.973,0,0,0,0,0,1,0,0
"161162","Gonzalo Escalante",2948,0,4,0,69.406,0.965,0,0,0,0,0,1,0,0
"49822","Charlie Austin",2127,0,1,1,51.601,0.695,0,0,1,0,0,1,0,1
"19025","Diego Castro",468,0,4,0,64.603,0.956,0,0,0,0,0,1,0,1
"131096","Suso",642,0,2,1,65.839,0.967,0,0,0,0,0,1,0,0
"12396","Henri Bedimo",1281,0,3,0,62.181,0.933,0,0,0,0,0,1,0,0
"72500","Giorgio Chiellini",725,0,2,0,49.332,0.589,0,0,0,0,0,0,0,0
"75575","Rodrigo de Paul",2555,0,4,0,69.079,0.964,0,0,0,0,0,1,0,0
"120669","Tim Matavz",2174,0,2,0,56.943,0.953,0,0,0,0,0,1,0,0
"149090","Famara Diedhiou",3404,0,3,0,71.674,0.971,0,0,0,0,0,1,0,0
"112520","Marvin Plattenhardt",1229,0,5,0,66.19,0.963,0,0,0,0,0,0,1,0
"67934","Josip Ilicic",1555,0,2,0,69.291,0.965,0,0,0,0,0,1,0,0
"8932","Sebastián Dubarbier",639,0,4,0,67.534,0.973,0,0,0,0,0,1,0,0
"46137","Stephen Ireland",226,0,1,0,63.777,0.956,0,0,0,0,0,1,0,0
"157301","Theo Bongonda",2736,0,4,0,55.852,0.944,0,0,0,0,0,1,0,0
"88728","Alessandro Matri",911,0,2,0,55.49,0.901,1,0,1,0,0,0,0,0
"70208","Makoto Hasebe",1226,0,5,0,73.851,0.98,0,0,0,0,0,1,0,0
"170823","Chicharito",1053,0,5,0,58.976,0.916,0,0,0,0,0,1,0,1
"50396","George Boyd",1130,0,1,0,56.699,0.956,0,0,0,0,0,1,0,0
"19512","Álvaro Negredo",329,0,1,0,52.322,0.988,0,0,0,0,0,1,0,0
"96204","Marek Hamsik",586,0,2,0,59.621,0.935,0,0,0,0,0,0,0,0
"94783","Juan Domínguez",2209,0,4,0,71.905,0.98,0,0,0,0,0,1,0,0
"21280","Valère Germain",1608,0,3,0,49.523,0.817,0,0,0,0,0,1,0,1
"79635","Wilfried Bony",573,0,1,0,56.019,0.906,0,0,0,0,0,1,0,0
"36495","Carlos Vela",179,0,4,0,74.205,0.987,0,0,0,0,0,1,0,0
"5260","Cristiano Ronaldo",86,0,4,0,60.162,0.914,1,0,1,0,0,1,0,0
"20617","Álvaro Rubio",1409,0,4,0,71.675,0.971,0,0,0,0,0,1,0,0
"124468","Yacine Bammou",2112,0,3,0,60.074,0.974,0,0,0,0,0,1,0,0
"18507","Eric-Maxim Choupo-Moting",261,0,5,0,69.605,0.976,0,0,0,0,0,1,0,0
"173195","Nathaniel Clyne",846,0,1,0,60.63,0.951,0,0,0,0,0,1,0,1
"129593","Diego Carlos",3366,0,3,0,52.772,0.849,1,0,0,0,0,0,0,0
"48489","Mario",397,0,4,0,57.243,0.985,0,0,0,0,0,1,0,1
"86655","Bacary Sagna",821,0,1,0,52.631,0.983,0,0,0,0,0,0,0,0
"133332","Benoit Pedretti",1076,0,3,0,69.578,0.968,0,0,0,0,0,1,0,0
"7750","Gueida Fofana",996,0,3,0,55.665,0.843,0,0,1,0,1,1,0,0
"177624","Verza",652,0,4,0,71.121,0.976,0,0,0,0,0,0,0,0
"50149","Emiliano Velázquez",2510,0,4,0,48.127,0.995,0,0,0,0,0,0,0,0
"102184","Daniel Schwaab",318,0,5,0,56.569,0.874,1,0,1,0,0,0,0,0
"180714","Fernando Aristeguieta",901,0,3,0,50.27,0.484,0,0,0,0,1,0,0,0
"10529","Leroy Fer",557,0,1,1,59.326,0.921,0,0,0,1,0,1,0,0
"86306","Josip Ilicic",1555,0,2,0,55.292,0.818,0,1,0,0,1,1,0,0
"12306","Ömer Toprak",1650,0,5,0,54.894,0.948,0,0,0,0,0,1,0,0
"158491","Samu Castillejo",2250,0,4,0,51.865,0.749,0,0,0,0,1,1,0,0
"6958","Humberto Osorio",28,0,4,0,55.814,0.982,0,0,0,1,0,1,0,0
"78609","André Ayew",739,0,3,0,72.72,0.973,0,0,0,0,0,1,0,0
"161450","Pedro",891,0,1,0,56.442,0.948,0,0,0,0,0,1,0,0
"104596","Antonio Cassano",7,0,2,0,90.075,0.992,0,0,0,0,0,1,0,0
"174645","Michael Krohn-Dehli",484,0,4,0,73.308,0.975,0,0,0,0,0,1,0,0
"41211","Alexis Sánchez",25,0,1,0,65.887,0.975,0,0,0,0,0,1,0,0
"28700","John O'Shea",497,0,1,0,47.841,-0.11,1,0,1,0,1,0,0,0
"128986","Connor Wickham",1993,0,1,0,75.949,0.978,0,0,0,0,0,0,1,0
"133242","Felipe Anderson",926,0,2,0,67.247,0.972,0,0,0,0,0,1,0,0
"131508","Cristian Raimondi",159,0,2,0,70.952,0.984,0,0,0,0,0,1,0,0
